id,phone_number,name,direction,city,state,address,latitude,longitude,created_at,updated_at,north_south,east_west,approved_quantity,not_approved_quantity,not_classified_quantity,total
325,1,SCSP09.2,NS,Fortaleza,CE,AV. BENJAMIN BRASIL X RUA GASTÃO JUSTA,-3.8040712,-38.5692835,2023-03-17T18:14:12.873Z,2023-03-17T18:14:12.873Z,,,23,226,208,457
261,85,PTZ: SG18,NS,Fortaleza,CE,AV AGUANAMBI x R CARLOS RIBEIRO,-3.746389,-38.5252873,2023-01-18T12:14:56.666Z,2023-01-18T12:14:56.666Z,,,1671,393,1565,3629
195,1,SCSP01,NS,Fortaleza,CE,Av C Av L,-3.828365,-38.5567011,2023-03-14T05:17:35.006Z,2023-03-14T05:17:35.006Z,,,47,15,40,102
288,1,SCSP08.3,NS,Fortaleza,CE,R. JAIME BENÉVOLO X R. SALDANHA  MARINHO,-3.7430298,-38.5290013,2023-03-17T18:12:35.887Z,2023-03-17T18:12:35.887Z,,,14,6,24,44
279,1,SCSP07,NS,Fortaleza,CE,R. CAP ARAGAO x RUA HERMINIO BARROSO,-3.7642121,-38.5092119,2023-03-17T18:02:42.816Z,2023-03-17T18:02:42.816Z,,,174,9,48,231
326,1,SCSP10.3,NS,Fortaleza,CE,AV A CJ CEARA x AV F CJ CEARA,-3.7677944,-38.603248,2023-03-17T18:16:11.841Z,2023-03-17T18:16:11.841Z,,,144,11,7,162
294,85,PTZ: SG22,NS,Fortaleza,CE,R 15 DE NOVEMBRO x R EQUADOR,-3.7705823,-38.5513331,2023-01-18T12:16:45.617Z,2023-01-18T12:16:45.617Z,,,0,6,43,49
267,1,SCSP03,NS,Fortaleza,CE,AV DES GONZAGA X RUA ENF JOAQUIM PINTO X RUA JOAO LEONEL,-3.8004913,-38.4977348,2023-03-17T17:54:28.949Z,2023-03-17T17:54:28.949Z,,,27,275,39,341
260,85,PTZ: SG17,NS,Fortaleza,CE,R VERBENA x R TAQUARI,-3.7799143,-38.5884196,2023-01-18T12:13:53.319Z,2023-01-18T12:13:53.319Z,,,6,411,99,516
123,85,PTZ: SG01,NS,Fortaleza,CE,AV BEZERRA DE MENEZES x AV JOSE JATAHY,-3.731461,-38.5449037,2023-01-18T12:10:00.501Z,2023-01-18T12:10:00.501Z,,,57,65,75,197